NumTrajs,Perplexity,ExplainedVariance,MaxReturn,Time,Iteration,Entropy,MinReturn,LossAfter,AverageAbsQ,AverageReturn,AbsLearnSignal,AbsLearnSignalOld,dLoss,AverageDiscountedReturn,MeanKLBefore,StdReturn,MeanKL,LossBefore,AverageAbsY,AverageQ,EnvExecTime,PolicyExecTime,AverageQLoss,AveragePolicyStd,AbsLearnSignalNew,AverageAbsQYDiff,ProcessExecTime,ItrTime,AverageY
1,7.8768353,0.8583656983778214,174.85204470861268,4001.624536752701,779,2.0639262,174.85204470861268,-26.890083,24.84194,174.85204470861268,0.613183915892794,0.6123471869755271,0.0520401,73.53909690380955,0.0,0.0,0.0072767204,-26.838043,24.890888508384112,21.267225,1.0666191577911377,0.4881272315979004,4.2666025,0.73149836,0.613183915892794,0.8762252337000036,0.014887571334838867,4.982793569564819,21.267042555872695
1,7.744198,-0.7738736644044801,101.23034788577449,4006.65954041481,780,2.046944,101.23034788577449,-14.601604,24.789518,101.23034788577449,0.801668395135874,0.8013633904980402,0.030197144,39.1121649586018,0.0,0.0,0.009666254,-14.571407,24.861408021002397,21.282312,1.279189109802246,0.49356913566589355,6.464786,0.7251192,0.801668395135874,0.9260998170242991,0.014919042587280273,5.029688835144043,21.282347005500796
2,7.748466,-0.19278342985164443,197.97869626187423,4011.5131781101227,781,2.047495,155.5746231231862,-29.16349,24.611908,176.77665969253022,0.440348944798051,0.43995986568123846,0.026088715,51.67480921886438,0.0,21.202036569344017,0.0067119678,-29.137402,24.673514573448564,21.063753,0.8810198307037354,0.6203899383544922,5.4772243,0.7313246,0.440348944798051,0.8963564145703481,0.019792556762695312,4.812955141067505,21.064578190275242
1,7.6874466,0.7015660366682637,176.9734165504708,4016.059789657593,782,2.0395887,176.9734165504708,-17.87678,24.66786,176.9734165504708,0.36633065069744614,0.364258214107329,0.03835106,98.15481427463733,0.0,0.0,0.009831744,-17.838428,24.717584856211143,21.109024,0.6746163368225098,0.47597742080688477,4.346918,0.7292074,0.36633065069744614,0.8623631287883431,0.014885902404785156,4.540586709976196,21.107733311425196
2,7.6961336,0.49181708007141134,218.365014423,4021.3943536281586,783,2.040718,100.2292664386235,-23.636637,24.786203,159.29714043081174,0.40629883665800454,0.40604696045932964,0.027479172,38.7577944821578,0.0,59.06787399218825,0.009920228,-23.609158,24.838853986070305,21.325602,1.3584392070770264,0.6986556053161621,4.3542933,0.730194,0.40629883665800454,0.8666322477123818,0.021631956100463867,5.3296825885772705,21.325158792015568
1,7.5483747,-0.7279680713826708,162.729163544971,4025.8914618492126,784,2.0213323,162.729163544971,-27.35859,24.643269,162.729163544971,0.6061369191815277,0.6057643773181701,0.030672073,57.23570993556869,0.0,0.0,0.006467881,-27.327917,24.71416029274653,21.121597,0.6777219772338867,0.47536540031433105,5.7358956,0.72083,0.6061369191815277,0.9018019993881355,0.014890670776367188,4.456631898880005,21.121567010932967
1,7.4538856,-0.5817768370679994,105.60943955199228,4030.8689846992493,785,2.0087354,105.60943955199228,-23.316034,24.540277,105.60943955199228,0.5798538481888108,0.5797655996350696,0.028657913,43.53668437444761,0.0,0.0,0.009934288,-23.287376,24.593386832778645,20.966003,1.1369695663452148,0.48963165283203125,5.071359,0.71823686,0.5798538481888108,0.8782291209605491,0.015173196792602539,4.968938827514648,20.965680492087085
1,7.804966,-3.431721407948446,69.29633611253666,4035.8876888751984,786,2.0547602,69.29633611253666,-20.463385,24.69818,69.29633611253666,0.7433532771714804,0.7438002823612129,0.036245346,19.006144780399516,0.0,0.0,0.009787816,-20.42714,24.75439851001533,21.141262,1.264509916305542,0.4864614009857178,4.7696686,0.7432656,0.7433532771714804,0.868383092956377,0.015090227127075195,5.01289439201355,21.14218472469966
1,7.598483,0.9693460311139263,148.41799315660424,4040.9127638339996,787,2.0279486,148.41799315660424,-21.53267,24.58546,148.41799315660424,0.5852587690085168,0.5829868891020554,0.029376984,74.12961571925325,0.0,0.0,0.006594687,-21.503292,24.6136766340334,21.0419,1.1454284191131592,0.48052024841308594,4.276115,0.7331732,0.5852587690085168,0.8688412971975835,0.014733314514160156,4.984125375747681,21.042296187884247
1,7.3587866,-1.605422732672238,173.81738185707155,4045.356554746628,788,1.995895,173.81738185707155,-21.016008,24.571053,173.81738185707155,0.474615508386631,0.47456987892238256,0.0528965,67.1986937418355,0.0,0.0,0.009943226,-20.963112,24.603673665327925,20.950113,0.6541459560394287,0.47421693801879883,3.9744637,0.7250264,0.474615508386631,0.8572777312623721,0.01506948471069336,4.4386396408081055,20.9491159726517
1,7.5615273,0.09431459680107557,137.07254768537945,4050.2873075008392,789,2.0230732,137.07254768537945,-16.685143,24.403214,137.07254768537945,0.5242707169333445,0.523539628595685,0.023906708,50.21171561297322,0.0,0.0,0.0066074105,-16.661236,24.460148992783566,20.832945,1.0762522220611572,0.4854469299316406,4.8968034,0.7370142,0.5242707169333445,0.8826368576439915,0.015024662017822266,4.92534613609314,20.835933342983882
1,7.474429,0.27669418701891246,167.49636484755933,4054.950977563858,790,2.0114877,167.49636484755933,-31.01769,24.437471,167.49636484755933,0.42076275805796937,0.4213619251301673,0.03769493,52.99019619657038,0.0,0.0,0.0064707487,-30.979996,24.48120610224809,20.878977,0.843043327331543,0.48662233352661133,4.4570246,0.73119193,0.42076275805796937,0.8660896498809445,0.015308141708374023,4.623507976531982,20.877363623985055
1,7.524154,0.8334829012635934,164.38839316743085,4059.7032403945923,791,2.0181184,164.38839316743085,-25.508364,24.296118,164.38839316743085,0.5185365607383658,0.5182645153886029,0.059469223,57.061749539281976,0.0,0.0,0.009879619,-25.448895,24.355921253332735,20.65715,0.9080252647399902,0.47944188117980957,6.2847023,0.7356779,0.5185365607383658,0.9066904398879024,0.014848470687866211,4.7466514110565186,20.659100873287368
3,7.460414,-3.2656161175568963,201.63737279203968,4064.9516677856445,792,2.009611,164.31844918541523,-32.912106,24.453388,187.60691165483067,0.6881580058612465,0.6881217099068884,0.02892685,43.60184442204949,0.0,16.582288870752418,0.009619609,-32.88318,24.49659492568431,20.808704,1.2595312595367432,0.7450549602508545,4.121349,0.72949326,0.6881580058612465,0.8423808693555661,0.023491621017456055,5.243443727493286,20.805916871132936
1,7.621578,-0.8895438599020951,188.32852188881603,4069.5247416496277,793,2.0309834,188.32852188881603,-25.138546,24.506134,188.32852188881603,0.37543180164663786,0.3753432915197203,0.07493591,91.78732313103399,0.0,0.0,0.009788095,-25.06361,24.54986804319679,20.828691,0.8011288642883301,0.46755361557006836,4.8104873,0.73953015,0.37543180164663786,0.866928437860728,0.014926433563232422,4.519665241241455,20.828112693792296
1,7.8207903,0.8886187447826379,134.7472775286964,4074.046484708786,794,2.0567856,134.7472775286964,-21.76483,24.17414,134.7472775286964,0.3906871683861558,0.383030114052598,0.030544281,53.72577180300945,0.0,0.0,0.008598842,-21.734285,24.24013636689069,20.38509,0.7444639205932617,0.4761042594909668,5.892413,0.7451783,0.3906871683861558,0.8934952529198403,0.014839649200439453,4.513165235519409,20.386951632557274
1,8.057654,0.8933368102521697,157.91367022208317,4078.5939214229584,795,2.0866225,157.91367022208317,-27.064808,24.413792,157.91367022208317,0.5256774796322159,0.5227883056187684,0.049440384,56.89608981994818,0.0,0.0,0.006895557,-27.015368,24.455773967815862,20.681269,0.7537045478820801,0.46755385398864746,4.095821,0.75871617,0.5256774796322159,0.8240497074608151,0.01492619514465332,4.541840314865112,20.680961613663143
1,8.065879,0.5038759652669991,61.00075138950973,4084.156128883362,796,2.0876427,61.00075138950973,-8.877958,24.104042,61.00075138950973,0.5388432379964087,0.5387597427752869,0.043208122,45.01630919192354,0.0,0.0,0.009682363,-8.83475,24.14443585806049,20.350943,1.6815505027770996,0.49559760093688965,4.8490047,0.75717926,0.5388432379964087,0.8564703913067251,0.014696359634399414,5.522303581237793,20.350045386761007
2,7.992767,-1.1865782048184834,125.85140333277826,4088.7312910556793,797,2.078537,32.31508769435058,-27.345184,24.01335,79.08324551356442,0.44156786791802255,0.4419425864299484,0.037010193,36.78704501964899,0.0,46.76815781921384,0.0064690113,-27.308174,24.06212177507204,20.162308,0.7321579456329346,0.4993276596069336,4.97262,0.75684136,0.44156786791802255,0.8470486517181449,0.015921354293823242,4.569960594177246,20.160668489060857
