Perplexity,AbsLearnSignalOld,EnvExecTime,AverageDiscountedReturn,Time,MaxReturn,LossAfter,ExplainedVariance,NumTrajs,LossBefore,dLoss,MeanKL,PolicyExecTime,AveragePolicyStd,Iteration,AbsLearnSignal,MinReturn,Entropy,StdReturn,MeanKLBefore,ProcessExecTime,ItrTime,AverageReturn,AbsLearnSignalNew
16.245537,0.8300951056,0.0812988281,2.0676533484,62.9666759968,-2.6157088435,-1.0222941496,-1.7563553,-0.5502176758,1,12.1667310702,-1.7074696,11.3371725,0.048885703,0.006688321,11.986289,1.5995845023,0.0628707409,0.9788342,68,0.8354098545,,-2.6157088435,-1.0300304
15.4885845,0.7639587369,0.0897116661,43.6312614731,63.9590392113,36.2262387274,-1.0763395731,-2.7135046,0.6818467527,1,12.123716407,-2.639533,8.756767,0.07397151,0.0067684124,11.933323,1.5515415749,0.0639002323,0.9573533,69,0.7684692496,,36.2262387274,-1.0511087
15.159045,0.6575217796,0.0951147079,32.4156802069,64.8691103458,54.3705234968,-0.7460749721,-2.413064,-17.0807002485,1,12.1403758677,-2.3096964,10.829121,0.10336757,0.009910687,11.946171,1.5968877761,0.0619595051,0.94726557,70,0.6588371538,,54.3705234968,-0.74040437
15.416518,0.8468657853,0.0936665535,20.8291454845,65.8088479042,19.8582048764,-0.6620331381,-3.6019642,0.5300956106,1,12.2631182697,-3.5528364,9.4688835,0.049127817,0.006403591,12.1055765,1.5505483144,0.0650527477,0.9553436,71,0.8384621953,,19.8582048764,-0.6510713
16.186287,0.8141620201,0.0952265263,20.8563666252,66.7293381691,28.0460221215,-0.6955586749,-2.121699,0.6126036602,1,12.3125727245,-2.0599809,9.518198,0.061718225,0.0065989406,12.13849,1.5728512097,0.0654025078,0.9790554,72,0.815883275,,28.0460221215,-0.68297845
16.58031,0.7398771644,0.0870144367,34.7067172929,67.6235713959,15.5035387486,-1.0653488116,-2.1432078,-2.5789849964,1,12.4596162831,-2.0524585,12.542175,0.090749264,0.009171945,12.24327,1.6929985964,0.0670938492,0.9906238,73,0.7387530468,,15.5035387486,-1.0615456
16.249836,0.6319091428,0.0762789249,3.2635472318,68.5364034176,-6.1606084396,-0.831049916,-2.5838566,-0.1319807762,1,12.6361679507,-2.5187302,9.208827,0.06512642,0.006961688,12.48614,1.5337540575,0.0632462502,0.98034775,74,0.6585054578,,-6.1606084396,-0.82601684
16.144817,0.7708993771,0.0947461128,42.9766171597,69.4691100121,56.3785995929,-0.4635555014,-5.1534214,-0.7795114535,1,12.2396181478,-5.074476,9.902066,0.07894564,0.00954574,12.042873,1.5541911932,0.0659303665,0.9777355,75,0.7692251138,,56.3785995929,-0.4658482
16.500788,0.7755082993,0.0832202435,18.6583586407,70.3854756355,10.4416778863,-0.6417526183,-2.5285776,0.1370834868,1,12.5160565306,-2.4803174,10.955698,0.048260212,0.008198951,12.346316,1.5861903246,0.0623135567,0.989487,76,0.7759729863,,10.4416778863,-0.62621695
16.644188,0.7870542976,0.086168766,29.2083246379,71.2945148945,15.3416738254,-0.663965386,-3.2463927,-0.1381905449,1,12.3012942765,-3.1911304,8.731069,0.055262327,0.009560193,12.15992,1.5521165039,0.0649676323,0.9931793,77,0.7877688435,,15.3416738254,-0.6445488
16.414743,0.7139413594,0.0864946842,25.6306324754,72.1948435307,32.5658367581,-0.5011286682,-3.7514699,-21.0040532813,1,12.5265827714,-3.6748004,9.141737,0.076669455,0.00907036,12.355202,1.527798839,0.0643482208,0.9856908,78,0.71270977,,32.5658367581,-0.49370497
16.917097,0.6173222518,0.0853040218,28.4756231498,73.1040854454,26.930886334,0.0286779021,-4.185377,0.4241415196,1,12.2900820963,-4.0927644,11.321267,0.09261274,0.009761307,12.098872,1.6016548843,0.0649659634,1.000666,79,0.6221077592,,26.930886334,0.0289917
16.90734,0.7525436919,0.0834202766,11.6426747689,74.0988900661,3.776648254,-0.283464281,-1.4733402,0.3825940018,1,12.2207411828,-1.4434112,7.1981983,0.029928923,0.008087147,12.073489,1.4405572906,0.0642781258,0.9995977,80,0.7477743371,,3.776648254,-0.27789712
16.922241,0.7438561769,0.0820589066,24.7050350869,75.0031075478,36.4027938661,0.0866477358,-6.573855,-95.1861861442,1,12.3430786768,-6.464371,8.631997,0.10948372,0.009302158,12.180434,1.5201812449,0.0664727688,1.0003266,81,0.7439555712,,36.4027938661,0.09697458
16.799612,0.7314712184,0.0866463184,22.3024215814,75.9329380989,11.6756520119,-0.2919347313,-4.1568336,-41.6689248713,1,12.4406748818,-4.074714,9.455355,0.082119465,0.0075007053,12.303389,1.5621646819,0.0644645691,0.9963723,82,0.7306000856,,11.6756520119,-0.28964072
17.056402,0.8519503694,0.0872597694,37.4897974188,76.8339002132,28.0120142526,0.204430425,-5.658188,-0.3949222261,1,12.2475650582,-5.6216187,9.213526,0.03656912,0.008126923,12.102257,1.5422385137,0.0643050671,1.0038651,83,0.8560721735,,28.0120142526,0.22411034
17.208382,0.8534960797,0.0863342285,12.8525659917,77.7614426613,4.0300134872,-0.12612864,-2.888658,-0.6103348857,1,12.5501685471,-2.834823,8.727068,0.053835154,0.007100216,12.371671,1.4772077908,0.0652492046,1.0076232,84,0.8397115512,,4.0300134872,-0.12472384
17.65259,0.8475457265,0.0876412392,-2.1256250813,78.6754896641,-17.074503159,-0.4386106811,-4.1383576,-0.7716098785,1,12.67092245,-4.090121,8.082276,0.048236847,0.006455599,12.556171,1.5155145315,0.063983202,1.0209842,85,0.834591364,,-17.074503159,-0.44612336
17.419922,0.6558888801,0.0885972977,33.7702491124,79.5874752998,25.4037826094,-0.0627905051,-6.036837,0.7789925026,1,12.2628578462,-5.9991198,7.902924,0.037717342,0.007182326,12.101283,1.47434106,0.0635902882,1.0130283,86,0.6680813515,,25.4037826094,-0.04540657
17.16067,0.7559181187,0.0923779011,16.142098913,80.5780558586,21.0998186435,0.1300732822,-6.343933,0.6938025764,1,12.5657281154,-6.249337,7.9088244,0.09459591,0.009819373,12.442855,1.4801624777,0.0861639977,1.0049189,87,0.7572392764,,21.0998186435,0.13118738
17.514006,0.7184075244,0.0848691463,13.0379451301,81.4861974716,14.5016405896,-0.0335050249,-5.5348234,0.1223169879,1,12.5819456448,-5.4905534,9.341357,0.04427004,0.007069831,12.448504,1.514934913,0.0661625862,1.0145336,88,0.722633635,,14.5016405896,-0.026009994
17.173092,0.6548094294,0.0925898552,23.9502829909,82.4146001339,16.3013177893,0.1460005829,-5.1751122,0.212013505,1,12.3869118683,-5.075799,10.048913,0.09931326,0.009196154,12.26321,1.5208938656,0.0649943352,1.0050058,89,0.6726151501,,16.3013177893,0.14982732
17.442226,0.8325979407,0.0819337368,27.8171009721,83.3508794308,41.1289020164,-0.0524425273,-10.966985,-29.4749113882,1,12.7796807251,-10.846879,11.130069,0.12010574,0.00898265,12.612984,1.6285039861,0.0621421337,1.0128397,90,0.8323292509,,41.1289020164,-0.049918488
