ItrTime,Perplexity,EnvExecTime,MeanKLBefore,NumTrajs,AbsLearnSignalNew,AverageDiscountedReturn,StdReturn,dLoss,AbsLearnSignalOld,AveragePolicyStd,AverageReturn,MinReturn,LossAfter,ExplainedVariance,AbsLearnSignal,MaxReturn,Iteration,MeanKL,Entropy,LossBefore,PolicyExecTime,ProcessExecTime,Time,,,,,,
0.8964540958,17.440231,11.530945,0.0756905079,0,1,0.703104334,-17.1576438689,0,0.17954183,0.7024026456,-50.5802363025,,-8.0851243199,-50.5802363025,3.276182,-8.077776,15.722592,-169.5838356437,0.703104334,-50.5802363025,38,0.0073499666,11.659752717,2.8587797,3.4557238,1.5610404618,0.0608196259,0.0032441616,35.7188749313
0.9166946411,17.30545,11.863789,0.0807986259,0,1,0.8122501702,-40.2016723087,0,0.16527152,0.8337410939,-101.6422869885,,-8.2876009514,-101.6422869885,2.8567407,-8.281076,15.188296,0.6326887462,0.8122501702,-101.6422869885,39,0.00743371,12.0349428203,2.8510215,3.0220122,1.5570572682,0.0606958866,0.0031895638,36.6412243843
0.9424352646,17.36108,11.649295,0.0877876282,0,1,0.7315430704,-2.0477340689,0,0.1462388,0.7330999008,-26.9832135669,,-8.0584292837,-26.9832135669,1.9327621,-8.034155,18.033072,-1.2342578929,0.7315430704,-26.9832135669,40,0.007368771,11.8421676725,2.8542309,2.079001,1.6365765875,0.0686616898,0.0040335655,37.5921134949
0.9199566841,17.460592,11.482952,0.0869948864,0,1,0.8323448636,-14.0406700964,0,0.105615616,0.8395605935,-25.0294852729,,-7.5479465366,-25.0294852729,2.1151843,-7.554138,15.247483,0.0083433112,0.8323448636,-25.0294852729,41,0.006582187,11.5920652915,2.8599465,2.2208,1.6220515125,0.0632786751,0.0035839081,38.5188949108
0.8917684555,17.351145,11.663929,0.0828645229,0,1,0.8030583444,9.4716236917,0,0.1726616,0.8130829349,-18.1094849162,,-7.6702854194,-18.1094849162,-0.77757347,-7.6523466,13.418011,0.3632945688,0.8030583444,-18.1094849162,42,0.009888961,11.7898537597,2.8536584,-0.60491186,1.5619821455,0.0625464916,0.0036888123,39.4159276485
0.9075329304,17.370127,11.716633,0.0914633274,0,1,0.7617257761,2.9202441801,0,0.10728946,0.7615658599,11.1493679873,,-7.5024237778,11.1493679873,0.31287193,-7.4780073,13.928894,-4.728107583,0.7617257761,11.1493679873,43,0.0065244925,11.8971193512,2.8547518,0.4201614,1.5262722838,0.0618958473,0.0032310486,40.328963995
0.8838114738,17.439837,11.926491,0.0813651085,0,1,0.7666604346,-2.3421179239,0,0.12167895,0.7646414326,-16.1599582811,,-7.6035264746,-16.1599582811,0.6087657,-7.583943,18.87241,-30.7846502993,0.7666604346,-16.1599582811,44,0.0073369485,12.0975836258,2.858757,0.73044467,1.6745669385,0.062928915,0.0033192635,41.2180578709
0.9214496613,17.290071,11.946301,0.0789089203,0,1,0.7681386209,-3.0742253182,0,0.109579444,0.7803416194,-15.1016726973,,-7.4142199623,-15.1016726973,1.0321889,-7.392406,18.531391,-1.8822460742,0.7681386209,-15.1016726973,45,0.009942448,12.1317939942,2.8501325,1.1417683,1.6826588084,0.0621125698,0.0036592484,42.1855254173
0.8926157951,17.366415,11.751931,0.0699443817,0,1,0.6530341921,9.7928358125,0,0.108345985,0.6530875962,-22.7057129901,,-6.9658406943,-22.7057129901,1.451507,-6.9512453,14.656546,-0.4086014016,0.6530341921,-22.7057129901,46,0.008183676,11.9159651011,2.8545382,1.559853,1.5712100575,0.0614995956,0.0034813881,43.0835096836
0.9124336243,17.258663,11.77829,0.080904007,0,1,0.6622250379,11.4007803982,0,0.079812884,0.6616389974,16.9921955509,,-6.9213034887,16.9921955509,1.440067,-6.8907433,17.920282,-15.1026834639,0.6622250379,16.9921955509,47,0.006696276,11.963408479,2.8483143,1.5198799,1.645441331,0.0629651546,0.0034484863,44.0032362938
0.9123251438,17.684998,12.142856,0.0815634727,0,1,0.6695919806,2.5025256521,0,0.08278483,0.6702506645,-0.6525042092,,-6.9562385932,-0.6525042092,0.57668144,-6.9528117,15.401385,-98.2062635687,0.6695919806,-0.6525042092,48,0.0071388115,12.3044349114,2.8727167,0.65946627,1.6324106513,0.0666692257,0.0034682751,44.9213285446
